id;autor;fecha_nacimiento;lugar_nacimiento;lugar_defuncion
1;J. R. R. Tolkien;1892-01-03;Bloemfontein;1973-09-02
2;Ernest Hemingway;1899-07-21;Oak Park;1961-07-02
3;C. S. Lewis;1898-11-29;Belfast;1963-11-22
4;Susan E. Hinton;1948-07-22;Tulsa;NULL
5;J. K. Rowling;1965-07-31;Yate;NULL
6;George R. R. Martin;1948-09-20;Bayonne;NULL
7;Fred Uhlman;1901-01-19;Stuttgart;1985-04-11
8;Joël Dicker;1985-06-16;Ginebra;NULL
9;Mary Ann Shaffer;1934-12-13;Martinsburg;2008-02-16
10;Patricia García-Rojo;1984-09-24;Jaén;NULL
11;Mark Haddon;1962-10-28;Northampton;NULL
12;Berlie Doherty;1943-11-06;Knotty Ash;NULL
13;Jane Austen;1775-12-16;Steventon;1817-07-18
14;Mitch Albom;1958-05-23;Passaic;NULL
15;David Lozano;1974-10-30;Zaragoza;NULL
16;María Menéndez-Ponte;1962-01-01;Coruña;NULL
17;Gabriel García Márquez;1927-03-06;Aracataca;2014-04-17
18;Patrick Rothfuss;1973-06-06;Madison;NULL
19;Michael Ende;1929-11-12;Garmisch-Partenkirchen;1995-08-28
20;Brandon Sanderson;1975-12-19;Lincoln;NULL
21;Philip K. Dick;1928-12-16;Illinois;1982-03-02
22;Carlos Ruiz Zafón;1964-09-25;Barcelona;2020-06-19
23;Laura Gallego;1977-10-11;Cuart de Poblet;NULL
24;R. L. Stevenson;1850-11-13;Edimburgo;1894-12-03
25;Roald Dahl;1916-09-13;Llandaff;1990-11-23
26;Scott Fitzgerald;1986-09-26;Minnesota;1940-12-21
27;Ray Bradbury ;1920-08-22;Illinois;2012-06-05